REWARDS COMPUTED TO BLOCK: 18010891
address, credit_account_miner, early_community_member, early_liquidity_provider, early_credit_account_user, cider_participants, early_gear_lps, pool ddai, pool dusdc, pool dweth, pool dwbtc, pool dwsteth, pool dfrax, cm dai, cm usdc, cm weth, cm wbtc, cm wsteth, cm frax, total, claimed, to pay
0x31a97b69545db659ed04d696713edf29c27f47cf, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x8f2a378b4b831bf5164c8e5b8a72c094d090513f, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xe9ace2d977ae6aca0258869b4fdb291892cb9e81, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xc47a1978fbde5f1a453196da88e471d0cad3d6c4, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x559d012969e5b475a96388112f6dcd8a443db186, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xed06c50bb6f49edc029803d16fec26ab7f640a08, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xf396923a852cb675aa52604ecd6489385da4b9cf, 100000, 20000, 25394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145394, 145394, 0
0x2b3ce0006e3d8f7abadf8b0c3f68ab9cc3bfa49e, 100000, 0, 0, 0, 0, 0, 0, 1736, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101742, 101476, 266
0x7243b40a58b5ed29613b62375d547816ca1352db, 100000, 20000, 0, 0, 0, 0, 0, 0, 6941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126941, 120000, 6941
0xb2d5fd7d47f65c2c2bff2da608f39e087d60928e, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xda7c484bcd2777bb93b0978905e3d89d6b2d5225, 100000, 20000, 0, 6527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126527, 126527, 0
0x4d17c6ef27356254b929adc124184bb34e5c5a1c, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0xcfbc7182e8d580eebb80b7255ad2b8ecdfefe2d0, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x0dc1f2633d657122d67735d9606e0b29f5523aef, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
0x35a214b13c9e223b8d511f343ac8fa94293233a1, 100000, 20000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120000, 120000, 0
0x8ce17ff2c7376e9adfe9c63c47a801097fa6c525, 100000, 0, 0, 0, 0, 0, 0, 0, 427, 0, 0, 0, 0, 0, 9447, 0, 0, 0, 109874, 109875, -1
0x1d0676ab90e684e9c70c96a8691c2c993eec2da8, 100000, 30000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130000, 130000, 0
0xb44b8f1f521d4b0f6643481eebd43e4583232c76, 100000, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100218, 100202, 16
0xf2fb34c4323f9bf4a5c04fe277f96588dde5316f, 100000, 0, 0, 0, 5749, 536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106285, 106285, 0
0x50aaf4a619be1d52376933f90fd519149ef906d0, 100000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100000, 100000, 0
